mukey,musym,muname,aws025wta,selected_soil_attribute,field_overlap_area_m2,field_overlap_area_acres,field_overlap_percent,number_of_fields_intersected,intersection_polygon_count
1154991,CcB,"Cecil sandy loam, 2 to 6 percent slopes",2.95,2.95,327904.1226134932,81.02687314987796,47.587964648686906,19,21
1154985,ApB,"Appling sandy loam, 2 to 6 percent slopes",3.5000000000000004,3.5000000000000004,209315.99292887072,51.72310818208191,30.377544486212596,13,13
1154992,CcC,"Cecil sandy loam, 6 to 10 percent slopes",2.9900000000000007,2.9900000000000007,78984.21598598517,19.517424784203158,11.462796039852668,9,9
1154986,ApC,"Appling sandy loam, 6 to 10 percent slopes",3.4700000000000006,3.4700000000000006,29447.063547005655,7.276527857114044,4.2735840217974665,8,9
1154999,DuB,"Durham loamy sand, 2 to 6 percent slopes",2.0,2.0,16616.485151310775,4.106022894195492,2.4115119433800896,1,1
1154993,CcD,"Cecil-Cataula complex, 10 to 15 percent slopes, moderately eroded",3.35,3.35,13984.07548353666,3.455540300292086,2.0294764349136236,3,3
1155019,PaF,"Pacolet sandy loam, 15 to 40 percent slopes",2.99,2.99,6611.379748192712,1.6337075116128443,0.9594942058928926,2,2
1155004,HeB,"Helena sandy loam, 2 to 6 percent slopes",3.05,3.05,6185.0931394948475,1.5283697967553604,0.8976282192647396,1,1
