field_id,CSBACRES,field_area_m2,covered_area_m2,coverage_percent,ssurgo_coverage_percent,uncovered_percent,area_weighted_aws025wta,weighted_selected_soil_attribute,dominant_mukey,dominant_musym,dominant_muname,dominant_mapunit_percent,mapunit_count,map_unit_count,ssurgo_polygon_count
451623001001160,4.233174233397975,17125.696622516185,17125.696622516527,100.0,100.0,0.0,2.0437086373285567,2.0437086373285567,1154999,DuB,"Durham loamy sand, 2 to 6 percent slopes",97.0266233109845,2,2,2
451623001001187,2.9410683003849662,11898.376323819059,11898.376323819059,100.0,100.0,0.0,3.5,3.5,1154985,ApB,"Appling sandy loam, 2 to 6 percent slopes",100.0,1,1,1
451623001001196,17.514312061244784,70855.94859810546,70855.9485981047,99.99999999999893,99.99999999999893,1.0658141036401503e-12,3.4964647033779594,3.4964647033779594,1154985,ApB,"Appling sandy loam, 2 to 6 percent slopes",88.21567792653082,2,2,3
451623001001204,3.307537355816114,13380.970179311144,13380.970179312459,100.0,100.0,0.0,3.4979447570645004,3.4979447570645004,1154985,ApB,"Appling sandy loam, 2 to 6 percent slopes",93.14919021501018,2,2,2
451623001001218,6.187809269344218,25033.5277098957,25033.5277098957,100.0,100.0,0.0,2.95,2.95,1154991,CcB,"Cecil sandy loam, 2 to 6 percent slopes",100.0,1,1,1
451623001001219,4.545813303363282,18390.54168646146,18390.54168646038,99.99999999999413,99.99999999999413,5.8690829973784275e-12,2.9532123611189816,2.9532123611189816,1154991,CcB,"Cecil sandy loam, 2 to 6 percent slopes",99.39336239179033,3,3,3
451623001001224,4.447507684144567,17992.908887819056,17992.908887819052,99.99999999999997,99.99999999999997,2.842170943040401e-14,2.95,2.95,1154991,CcB,"Cecil sandy loam, 2 to 6 percent slopes",99.99999999999997,1,1,1
451623001001231,4.003016126409183,16194.721897910846,16194.721897908843,99.99999999998764,99.99999999998764,1.2363443602225743e-11,2.9845047563551557,2.9845047563551557,1154992,CcC,"Cecil sandy loam, 6 to 10 percent slopes",86.26189088787733,2,2,2
451623001001238,2.6360029115600883,10664.248092584985,10664.24809258298,99.9999999999812,99.9999999999812,1.880096078821225e-11,3.0079983988162895,3.0079983988162895,1155004,HeB,"Helena sandy loam, 2 to 6 percent slopes",57.99839881627883,2,2,2
451623001001243,5.730075281942755,23181.746216805026,23181.746216809304,100.0,100.0,0.0,3.413451851441385,3.413451851441385,1154985,ApB,"Appling sandy loam, 2 to 6 percent slopes",70.69902704972536,4,4,4
451623001001248,3.9490344851654404,15976.271924619761,15976.271924618286,99.99999999999078,99.99999999999078,9.2228447101661e-12,2.959454223675554,2.959454223675554,1154991,CcB,"Cecil sandy loam, 2 to 6 percent slopes",97.63644408110252,2,2,2
451623001001250,12.640829411592978,51140.49001800128,51140.49001798271,99.99999999996369,99.99999999996369,3.630873379734112e-11,2.9542755797513345,2.9542755797513345,1154991,CcB,"Cecil sandy loam, 2 to 6 percent slopes",89.31105062163189,3,3,3
451623001001251,4.437590129467583,17952.831332152906,17952.83133215475,100.0,100.0,0.0,3.064170033479182,3.064170033479182,1154992,CcC,"Cecil sandy loam, 6 to 10 percent slopes",78.01915015397485,3,3,3
451623001001257,19.14119405324898,77438.56208461103,77438.56208461056,99.99999999999939,99.99999999999939,6.110667527536862e-13,2.9640460848463794,2.9640460848463794,1154991,CcB,"Cecil sandy loam, 2 to 6 percent slopes",64.88478788405143,3,3,3
451623001001258,8.885457754892826,35947.29729539933,35947.29729540134,100.0,100.0,0.0,3.091935725126886,3.091935725126886,1154992,CcC,"Cecil sandy loam, 6 to 10 percent slopes",48.05159659133975,3,3,4
451623001001259,3.6844874367322995,14906.000763411212,14906.000763415444,100.0,100.0,0.0,3.4411194060167194,3.4411194060167194,1154985,ApB,"Appling sandy loam, 2 to 6 percent slopes",89.29443745761073,2,2,2
451623001001261,4.376599028571515,17706.08829187022,17706.088291868902,99.99999999999257,99.99999999999257,7.432277016050648e-12,2.9580786669857435,2.9580786669857435,1154991,CcB,"Cecil sandy loam, 2 to 6 percent slopes",79.80333253563659,2,2,2
451623001001262,15.70476291622756,63535.71061062481,63535.71061063724,100.0,100.0,0.0,3.138778218797042,3.138778218797042,1154985,ApB,"Appling sandy loam, 2 to 6 percent slopes",34.05768041349231,3,3,4
451623001001264,5.923776287733908,23965.39221440094,23965.392214401283,100.0,100.0,0.0,2.9504367100640922,2.9504367100640922,1154991,CcB,"Cecil sandy loam, 2 to 6 percent slopes",98.90822483977117,2,2,2
451623001001266,14.144361343838874,57222.736150476856,57222.736150473356,99.99999999999389,99.99999999999389,6.110667527536862e-12,3.2960654192499894,3.2960654192499894,1154985,ApB,"Appling sandy loam, 2 to 6 percent slopes",40.10654133302054,3,3,3
451623001001267,4.753304821959788,19230.025107075744,19230.025107075748,100.0,100.0,0.0,3.5,3.5,1154985,ApB,"Appling sandy loam, 2 to 6 percent slopes",100.00000000000001,1,1,1
451623001001281,4.132697886258406,16719.394419509877,16719.394419513537,100.0,100.0,0.0,3.055397267125356,3.055397267125356,1154991,CcB,"Cecil sandy loam, 2 to 6 percent slopes",79.73129478360278,2,2,2
451623001001285,4.641658947719539,18778.491903040795,18778.49190303982,99.99999999999481,99.99999999999481,5.186961971048731e-12,2.9537392338279647,2.9537392338279647,1154991,CcB,"Cecil sandy loam, 2 to 6 percent slopes",99.28091657154015,2,2,2
451623001001295,3.308253514560647,13384.081312449362,13384.081312454013,100.0,100.0,0.0,3.2320599653720214,3.2320599653720214,1154993,CcD,"Cecil-Cataula complex, 10 to 15 percent slopes, moderately eroded",70.49791257167404,3,3,3
451623001001299,5.048982917619439,20426.36895500999,20426.36895501373,100.0,100.0,0.0,3.4966762261318145,3.4966762261318145,1154985,ApB,"Appling sandy loam, 2 to 6 percent slopes",88.9207537727314,2,2,2
