field_id,year,crop_code,crop_name,valid_pixel_count,dominant_pixel_count,dominant_pct,extraction_method,csb_annual_cdl_code,matches_csb_annual_cdl,raster_source_url,raster_sha256
451623001001267,2020,176,Grassland/Pasture,19,17,89.473684,rasterio.mask; pixel-center (all_touched=False); zero/nodata excluded,176,True,https://nassgeodata.gmu.edu/webservice/nass_data_cache/byfips/CDL_2020_45001.tif,a487b824d08105bd075dd00654bc3f4290296bcf68cfd9b17a670122bccf980e
451623001001281,2020,37,Other Hay/Non Alfalfa,18,10,55.555556,rasterio.mask; pixel-center (all_touched=False); zero/nodata excluded,37,True,https://nassgeodata.gmu.edu/webservice/nass_data_cache/byfips/CDL_2020_45001.tif,a487b824d08105bd075dd00654bc3f4290296bcf68cfd9b17a670122bccf980e
451623001001285,2020,37,Other Hay/Non Alfalfa,21,16,76.190476,rasterio.mask; pixel-center (all_touched=False); zero/nodata excluded,37,True,https://nassgeodata.gmu.edu/webservice/nass_data_cache/byfips/CDL_2020_45001.tif,a487b824d08105bd075dd00654bc3f4290296bcf68cfd9b17a670122bccf980e
451623001001295,2020,37,Other Hay/Non Alfalfa,13,12,92.307692,rasterio.mask; pixel-center (all_touched=False); zero/nodata excluded,37,True,https://nassgeodata.gmu.edu/webservice/nass_data_cache/byfips/CDL_2020_45001.tif,a487b824d08105bd075dd00654bc3f4290296bcf68cfd9b17a670122bccf980e
451623001001299,2020,37,Other Hay/Non Alfalfa,22,18,81.818182,rasterio.mask; pixel-center (all_touched=False); zero/nodata excluded,37,True,https://nassgeodata.gmu.edu/webservice/nass_data_cache/byfips/CDL_2020_45001.tif,a487b824d08105bd075dd00654bc3f4290296bcf68cfd9b17a670122bccf980e
451623001001160,2021,37,Other Hay/Non Alfalfa,22,12,54.545455,rasterio.mask; pixel-center (all_touched=False); zero/nodata excluded,37,True,https://nassgeodata.gmu.edu/webservice/nass_data_cache/byfips/CDL_2021_45001.tif,f44ea25d24ef88013aa2d8a421a5af2878e9b5979e15ab55e3823485b95fd533
451623001001187,2021,176,Grassland/Pasture,13,7,53.846154,rasterio.mask; pixel-center (all_touched=False); zero/nodata excluded,176,True,https://nassgeodata.gmu.edu/webservice/nass_data_cache/byfips/CDL_2021_45001.tif,f44ea25d24ef88013aa2d8a421a5af2878e9b5979e15ab55e3823485b95fd533
451623001001196,2021,37,Other Hay/Non Alfalfa,84,57,67.857143,rasterio.mask; pixel-center (all_touched=False); zero/nodata excluded,37,True,https://nassgeodata.gmu.edu/webservice/nass_data_cache/byfips/CDL_2021_45001.tif,f44ea25d24ef88013aa2d8a421a5af2878e9b5979e15ab55e3823485b95fd533
451623001001204,2021,176,Grassland/Pasture,15,8,53.333333,rasterio.mask; pixel-center (all_touched=False); zero/nodata excluded,176,True,https://nassgeodata.gmu.edu/webservice/nass_data_cache/byfips/CDL_2021_45001.tif,f44ea25d24ef88013aa2d8a421a5af2878e9b5979e15ab55e3823485b95fd533
451623001001218,2021,37,Other Hay/Non Alfalfa,27,18,66.666667,rasterio.mask; pixel-center (all_touched=False); zero/nodata excluded,37,True,https://nassgeodata.gmu.edu/webservice/nass_data_cache/byfips/CDL_2021_45001.tif,f44ea25d24ef88013aa2d8a421a5af2878e9b5979e15ab55e3823485b95fd533
451623001001219,2021,176,Grassland/Pasture,20,19,95.0,rasterio.mask; pixel-center (all_touched=False); zero/nodata excluded,176,True,https://nassgeodata.gmu.edu/webservice/nass_data_cache/byfips/CDL_2021_45001.tif,f44ea25d24ef88013aa2d8a421a5af2878e9b5979e15ab55e3823485b95fd533
451623001001224,2021,176,Grassland/Pasture,20,12,60.0,rasterio.mask; pixel-center (all_touched=False); zero/nodata excluded,176,True,https://nassgeodata.gmu.edu/webservice/nass_data_cache/byfips/CDL_2021_45001.tif,f44ea25d24ef88013aa2d8a421a5af2878e9b5979e15ab55e3823485b95fd533
451623001001231,2021,176,Grassland/Pasture,17,14,82.352941,rasterio.mask; pixel-center (all_touched=False); zero/nodata excluded,176,True,https://nassgeodata.gmu.edu/webservice/nass_data_cache/byfips/CDL_2021_45001.tif,f44ea25d24ef88013aa2d8a421a5af2878e9b5979e15ab55e3823485b95fd533
451623001001238,2021,37,Other Hay/Non Alfalfa,11,8,72.727273,rasterio.mask; pixel-center (all_touched=False); zero/nodata excluded,37,True,https://nassgeodata.gmu.edu/webservice/nass_data_cache/byfips/CDL_2021_45001.tif,f44ea25d24ef88013aa2d8a421a5af2878e9b5979e15ab55e3823485b95fd533
451623001001243,2021,176,Grassland/Pasture,27,21,77.777778,rasterio.mask; pixel-center (all_touched=False); zero/nodata excluded,176,True,https://nassgeodata.gmu.edu/webservice/nass_data_cache/byfips/CDL_2021_45001.tif,f44ea25d24ef88013aa2d8a421a5af2878e9b5979e15ab55e3823485b95fd533
451623001001248,2021,176,Grassland/Pasture,18,12,66.666667,rasterio.mask; pixel-center (all_touched=False); zero/nodata excluded,176,True,https://nassgeodata.gmu.edu/webservice/nass_data_cache/byfips/CDL_2021_45001.tif,f44ea25d24ef88013aa2d8a421a5af2878e9b5979e15ab55e3823485b95fd533
451623001001250,2021,37,Other Hay/Non Alfalfa,59,49,83.050847,rasterio.mask; pixel-center (all_touched=False); zero/nodata excluded,37,True,https://nassgeodata.gmu.edu/webservice/nass_data_cache/byfips/CDL_2021_45001.tif,f44ea25d24ef88013aa2d8a421a5af2878e9b5979e15ab55e3823485b95fd533
451623001001251,2021,176,Grassland/Pasture,20,13,65.0,rasterio.mask; pixel-center (all_touched=False); zero/nodata excluded,176,True,https://nassgeodata.gmu.edu/webservice/nass_data_cache/byfips/CDL_2021_45001.tif,f44ea25d24ef88013aa2d8a421a5af2878e9b5979e15ab55e3823485b95fd533
451623001001257,2021,37,Other Hay/Non Alfalfa,85,74,87.058824,rasterio.mask; pixel-center (all_touched=False); zero/nodata excluded,37,True,https://nassgeodata.gmu.edu/webservice/nass_data_cache/byfips/CDL_2021_45001.tif,f44ea25d24ef88013aa2d8a421a5af2878e9b5979e15ab55e3823485b95fd533
451623001001258,2021,37,Other Hay/Non Alfalfa,41,27,65.853659,rasterio.mask; pixel-center (all_touched=False); zero/nodata excluded,37,True,https://nassgeodata.gmu.edu/webservice/nass_data_cache/byfips/CDL_2021_45001.tif,f44ea25d24ef88013aa2d8a421a5af2878e9b5979e15ab55e3823485b95fd533
451623001001259,2021,176,Grassland/Pasture,19,13,68.421053,rasterio.mask; pixel-center (all_touched=False); zero/nodata excluded,176,True,https://nassgeodata.gmu.edu/webservice/nass_data_cache/byfips/CDL_2021_45001.tif,f44ea25d24ef88013aa2d8a421a5af2878e9b5979e15ab55e3823485b95fd533
451623001001261,2021,37,Other Hay/Non Alfalfa,20,11,55.0,rasterio.mask; pixel-center (all_touched=False); zero/nodata excluded,37,True,https://nassgeodata.gmu.edu/webservice/nass_data_cache/byfips/CDL_2021_45001.tif,f44ea25d24ef88013aa2d8a421a5af2878e9b5979e15ab55e3823485b95fd533
451623001001262,2021,37,Other Hay/Non Alfalfa,73,35,47.945205,rasterio.mask; pixel-center (all_touched=False); zero/nodata excluded,37,True,https://nassgeodata.gmu.edu/webservice/nass_data_cache/byfips/CDL_2021_45001.tif,f44ea25d24ef88013aa2d8a421a5af2878e9b5979e15ab55e3823485b95fd533
451623001001264,2021,176,Grassland/Pasture,25,11,44.0,rasterio.mask; pixel-center (all_touched=False); zero/nodata excluded,176,True,https://nassgeodata.gmu.edu/webservice/nass_data_cache/byfips/CDL_2021_45001.tif,f44ea25d24ef88013aa2d8a421a5af2878e9b5979e15ab55e3823485b95fd533
451623001001266,2021,176,Grassland/Pasture,65,47,72.307692,rasterio.mask; pixel-center (all_touched=False); zero/nodata excluded,176,True,https://nassgeodata.gmu.edu/webservice/nass_data_cache/byfips/CDL_2021_45001.tif,f44ea25d24ef88013aa2d8a421a5af2878e9b5979e15ab55e3823485b95fd533
451623001001267,2021,176,Grassland/Pasture,19,19,100.0,rasterio.mask; pixel-center (all_touched=False); zero/nodata excluded,176,True,https://nassgeodata.gmu.edu/webservice/nass_data_cache/byfips/CDL_2021_45001.tif,f44ea25d24ef88013aa2d8a421a5af2878e9b5979e15ab55e3823485b95fd533
451623001001281,2021,176,Grassland/Pasture,18,9,50.0,rasterio.mask; pixel-center (all_touched=False); zero/nodata excluded,176,True,https://nassgeodata.gmu.edu/webservice/nass_data_cache/byfips/CDL_2021_45001.tif,f44ea25d24ef88013aa2d8a421a5af2878e9b5979e15ab55e3823485b95fd533
451623001001285,2021,37,Other Hay/Non Alfalfa,21,15,71.428571,rasterio.mask; pixel-center (all_touched=False); zero/nodata excluded,37,True,https://nassgeodata.gmu.edu/webservice/nass_data_cache/byfips/CDL_2021_45001.tif,f44ea25d24ef88013aa2d8a421a5af2878e9b5979e15ab55e3823485b95fd533
