year,annual_mean_temperature_C,annual_mean_temperature_C_anomaly,annual_mean_temperature_C_zscore,annual_mean_temperature_C_notable,annual_precipitation_mm,annual_precipitation_mm_anomaly,annual_precipitation_mm_zscore,annual_precipitation_mm_notable,annual_precipitation_mm_anomaly_pct,warm_season_mean_temperature_C,warm_season_mean_temperature_C_anomaly,warm_season_mean_temperature_C_zscore,warm_season_mean_temperature_C_notable,warm_season_precipitation_mm,warm_season_precipitation_mm_anomaly,warm_season_precipitation_mm_zscore,warm_season_precipitation_mm_notable,warm_season_precipitation_mm_anomaly_pct
1991,15.747479452054794,-0.3371960301419783,-0.4438997790932972,False,1397.17,106.44933333333347,0.4397972965604157,False,8.247278910334858,21.4653738317757,-0.5301947040498476,-0.6206076597886799,False,821.97,96.39700000000005,0.593790070027178,False,13.28563769600027
1992,14.898360655737706,-1.186314826459066,-1.5617173463713456,False,1622.36,331.6393333333333,1.3701737499508218,False,25.694121268686587,20.306682242990654,-1.6888862928348942,-1.976888418234558,False,832.51,106.93700000000001,0.6587147807348394,False,14.738282708976218
1993,15.496520547945204,-0.588154934251568,-0.7742731884387066,False,1181.55,-109.17066666666665,-0.45104053318353227,False,-8.458117196542913,22.052196261682244,0.05662772585669629,0.06628432942584633,False,491.83,-233.743,-1.4398194169773186,False,-32.21495287173034
1994,15.241205479452054,-0.8434700027447182,-1.1103812453917479,False,1530.49,239.7693333333334,0.9906112259800568,False,18.57639220673103,20.760841121495325,-1.234727414330223,-1.4452828088082215,False,964.0500000000001,238.4770000000001,1.4689800982382366,False,32.867402728602094
1995,15.387561643835614,-0.6971138383611581,-0.9177115125617092,False,1466.3000000000002,175.57933333333358,0.7254091097975884,False,13.603201518944731,21.704018691588786,-0.2915498442367621,-0.34126720836977603,False,871.2400000000001,145.66700000000014,0.8972853733067313,False,20.076132932179142
1996,14.649071038251368,-1.4356044439454045,-1.8898932329197264,False,1372.23,81.50933333333342,0.33675724705752125,False,6.315025042857201,21.0135046728972,-0.9820638629283494,-1.1495330886550923,False,693.4100000000001,-32.1629999999999,-0.19811892509397652,False,-4.432772443296526
1997,15.273972602739725,-0.8107028794570468,-1.0672451539531986,False,1438.84,148.11933333333332,0.6119576358862211,False,11.475707886188644,20.661308411214954,-1.3342601246105943,-1.5617886168211932,False,791.3100000000002,65.7370000000002,0.40492938404075535,False,9.060011880265693
1998,16.827397260273973,0.7427217780772004,0.9777518231084472,False,1435.75,145.0293333333334,0.5991912464329758,False,11.236306745430594,22.65733644859813,0.6617679127725822,0.7746177631197513,False,746.3299999999999,20.756999999999948,0.12785979318395901,False,2.860773485231665
1999,16.26268493150685,0.17800944931007834,0.23433951814910792,False,1068.83,-221.89066666666668,-0.916745199581537,False,-17.191222887885374,22.028551401869162,0.03298286604361422,0.038607362827461314,False,602.0500000000001,-123.52299999999991,-0.7608818824233847,False,-17.02420018385468
2000,15.724016393442623,-0.360659088754149,-0.4747875879753005,False,980.91,-309.81066666666663,-1.2799882289437845,False,-24.002921365376757,22.168598130841122,0.17302959501557424,0.20253595748233397,False,514.0799999999999,-211.49300000000005,-1.3027629830830618,False,-29.14841098001167
2001,16.170931506849318,0.08625602465254545,0.1135512487279554,False,973.3699999999999,-317.3506666666667,-1.3111398718167528,False,-24.587091139265357,21.506542056074764,-0.48902647975078395,-0.5724191072725173,False,552.27,-173.303,-1.067518703962986,False,-23.884984694854964
2002,16.55471232876712,0.4700368465703484,0.6187773096570406,False,1225.18,-65.54066666666654,-0.27078241931780306,False,-5.077835069917003,22.951121495327108,0.9555529595015599,1.1185013382265994,False,619.9300000000001,-105.64299999999992,-0.6507439481299323,False,-14.559940901880296
2003,15.418164383561644,-0.6665110986351284,-0.8774247114439309,False,1469.17,178.44933333333347,0.7372665653739033,False,13.825557918289588,21.010420560747665,-0.9851479750778829,-1.153143127776622,False,936.1699999999998,210.59699999999987,1.297243766688937,False,29.024922371697937
2004,16.139207650273224,0.054532168076452336,0.07178855976573428,False,1271.03,-19.69066666666663,-0.08135233633032551,False,-1.5255560072125054,22.22672897196262,0.2311604361370705,0.27057972516690804,False,836.02,110.447,0.6803358181716411,False,15.222038306276557
2005,15.705890410958903,-0.37878507123786953,-0.49864943361145664,False,1342.1999999999998,51.479333333333216,0.2126877728565616,False,3.9884178399560675,21.508364485981314,-0.4872040498442338,-0.5702859023370591,False,813.99,88.41700000000003,0.5446345490170128,False,12.185817278206331
2006,16.56413698630137,0.47946150410459865,0.6311843459905411,False,1090.96,-199.76066666666657,-0.8253147145976132,False,-15.476676853912615,22.206028037383177,0.21045950155762938,0.24634870500270503,False,653.73,-71.84299999999996,-0.4425413654051734,False,-9.901553668617762
2007,17.047561643835614,0.962886161638842,1.2675859625734773,False,888.8399999999999,-401.8806666666667,-1.660377056439032,False,-31.13614564679887,22.890186915887856,0.8946183800623082,1.0471757167951827,False,426.84000000000003,-298.73299999999995,-1.840147400743061,False,-41.17201163769875
2008,16.047131147540984,-0.03754433465578799,-0.04942502393308673,False,1049.44,-241.28066666666655,-0.9968553262800577,False,-18.693484415166505,22.026915887850468,0.03134735202491967,0.03669294814179864,False,539.0799999999999,-186.49300000000005,-1.1487669899434472,False,-25.702858292687306
2009,15.530493150684935,-0.5541823315118375,-0.7295501504923791,False,1573.04,282.31933333333336,1.1664073008135831,False,21.8730001482376,21.469485981308413,-0.526082554517135,-0.6157942742933056,False,884.6300000000001,159.05700000000013,0.9797656272323089,False,21.921570951510066
2010,15.7446301369863,-0.3400453452104717,-0.44765074356621487,False,1131.75,-158.9706666666666,-0.6567901107795278,False,-12.316426843711596,23.292803738317755,1.2972352024922067,1.5184499148420232,False,649.1299999999999,-76.4430000000001,-0.47087662814286335,False,-10.535535363085465
2011,16.737890410958904,0.6532149287621323,0.8599210449063243,False,1089.5,-201.2206666666666,-0.8313467303263312,False,-15.589791956018363,22.870420560747664,0.8748520249221166,1.0240386478799244,False,523.39,-202.183,-1.245414875237869,False,-27.865287159252066
2012,16.998551912568303,0.9138764303715305,1.20306738305811,False,1095.4099999999999,-195.31066666666675,-0.8069294611778914,False,-15.13190822078209,22.14957943925234,0.1540109034267907,0.1802740495662415,False,691.92,-33.65300000000002,-0.20729708628509833,False,-4.638127383461074
2013,15.13232876712329,-0.9523467150734817,-1.253711368616487,False,1718.49,427.7693333333334,1.7673365389930524,False,33.141898505279485,20.681915887850465,-1.3136526479750827,-1.5376669917818901,False,1013.8800000000001,288.30700000000013,1.7759249117641172,False,39.73507834497702
2014,15.42709589041096,-0.6575795917858116,-0.8656668804999763,False,1162.19,-128.53066666666655,-0.5310267143533808,False,-9.958054440904066,21.92299065420561,-0.07257788161993872,-0.08495443074123057,False,672.74,-52.83299999999997,-0.32544281222181043,False,-7.281555405176319
2015,16.87517808219178,0.7905025999950084,1.0406526119619832,False,1581.6200000000001,290.8993333333335,1.2018557220138577,False,22.537745063352222,22.54355140186916,0.5479828660436112,0.641429198560319,False,838.52,112.947,0.6957354174856026,False,15.566593575008994
2016,17.258688524590166,1.174013042393394,1.5455227333241341,False,851.52,-439.2006666666666,-1.8145652941073562,False,-34.027553599255405,23.382990654205614,1.3874221183800657,1.6240162103655267,False,484.11,-241.46299999999997,-1.4873733796588315,False,-33.2789395415761
2017,17.08586301369863,1.0011875315018592,1.3180075811613512,False,1233.63,-57.09066666666649,-0.23587109540844217,False,-4.423162047455646,22.440654205607476,0.4450856697819283,0.5209851660511302,False,867.4100000000001,141.8370000000001,0.873693187157742,False,19.54827426048104
2018,16.49027397260274,0.40559849040596774,0.5339478054233762,False,1623.14,332.4193333333335,1.3733963336963022,False,25.754552624606113,22.61280373831776,0.6172352024922105,0.7224909861073759,False,886.26,160.687,0.989806165985011,False,22.1462209867236
2019,17.364821917808218,1.2801464356114458,1.6852414298463863,False,1240.27,-50.45066666666662,-0.20843781839564327,False,-3.9087207611664976,23.608317757009345,1.6127492211837975,1.8877678564869105,False,652.69,-72.88299999999992,-0.4489475987197812,False,-10.044888660410452
2020,16.73844262295082,0.6537671407540486,0.8606480012145618,False,1616.44,325.71933333333345,1.345715165626158,False,25.23546277247699,21.746822429906544,-0.24874610591900392,-0.2911642411679508,False,895.6999999999998,170.12699999999984,1.0479550529945285,False,23.447261681457253
2021,16.52013698630137,0.43546150410459816,0.5732607984568368,False,1209.55,-81.17066666666665,-0.3353580397560648,False,-6.288786471227184,21.963411214953272,-0.032157320872276074,-0.037641039224225466,False,752.1199999999999,26.546999999999912,0.16352526519509356,False,3.6587634876159827
2022,16.620109589041096,0.535434106844324,0.7048691577037138,False,1199.0300000000002,-91.6906666666664,-0.37882160514381225,False,-7.103835015167217,22.348831775700933,0.35326323987538544,0.41350445584197654,False,609.28,-116.293,-0.7163462412074088,False,-16.027746346680487
2023,17.082575342465752,0.9978998602689799,1.3136795452310586,False,1199.6399999999999,-91.08066666666673,-0.3763013793941438,False,-7.0565745957942925,21.97214953271028,-0.023419003115268566,-0.027412595046562703,False,666.78,-58.793000000000006,-0.3621554569862948,False,-8.102975165834453
2024,17.248415300546448,1.1637398183496757,1.531998606478209,False,1366.0100000000002,75.28933333333362,0.3110592074461347,False,5.833123717447794,22.917336448598135,0.9217679127725873,1.078955000577124,False,729.3699999999999,3.796999999999912,0.023388911438044144,False,0.5233105421508121
2025,16.532520547945204,0.44784506574843164,0.5895630671275899,False,1104.8400000000001,-185.88066666666646,-0.7679692499985681,False,-14.401308622934664,22.43107476635514,0.4355062305295938,0.5097721657494143,False,813.11,87.53700000000003,0.5392138900584984,False,12.064533823612516
