month,mean_t2m_C,mean_t2m_max_C,mean_t2m_min_C,t2m_p10_C,t2m_p90_C,mean_monthly_precipitation_mm,median_monthly_precipitation_mm,precipitation_p10_mm,precipitation_p90_mm,mean_relative_humidity_pct,mean_solar_radiation_kWh_m2_day,mean_hot_day_count,mean_dry_day_count
1,4.710365591397849,10.541172043010754,-0.15546236559139784,2.196322580645161,7.672967741935484,117.60333333333332,123.47,63.149000000000015,168.92200000000003,82.54109677419355,9.564075268817204,0.0,20.033333333333335
2,6.677045566502462,12.715770525451559,1.3803735632183909,4.686571428571429,8.614535714285717,108.36933333333333,102.215,53.166999999999994,166.503,81.64048932676519,12.079032840722496,0.0,18.3
3,10.787150537634409,17.100494623655912,4.950440860215053,8.183903225806452,13.36861290322581,118.98766666666667,108.97500000000002,62.966,182.292,79.76222580645161,15.913688172043011,0.0,20.1
4,15.679422222222223,22.018666666666665,9.48258888888889,13.953033333333334,17.299500000000002,97.48100000000001,89.59,48.002,149.21,77.70643333333334,20.079822222222223,0.0,19.866666666666667
5,20.60378494623656,26.66341935483871,14.704204301075269,18.797193548387096,22.143354838709676,96.54633333333332,88.825,53.42400000000001,152.905,75.50884946236559,22.19568817204301,0.13333333333333333,18.533333333333335
6,24.945411111111113,31.010022222222226,19.271977777777774,23.486866666666664,26.970266666666667,114.38333333333334,107.48000000000002,54.205000000000005,171.52700000000002,72.34482222222222,22.958033333333333,3.8333333333333335,12.7
7,27.119107526881724,33.45262365591398,21.377086021505377,25.608,28.617838709677418,110.04466666666667,91.495,65.55499999999999,160.81600000000003,69.48527956989247,22.097774193548386,10.533333333333333,12.066666666666666
8,26.29312903225806,32.75245161290322,20.63564516129032,24.223354838709678,27.820935483870965,115.77566666666667,118.525,54.032000000000004,183.13099999999997,69.56998924731184,20.100182795698924,7.766666666666667,13.666666666666666
9,22.723877777777776,29.39471111111111,17.12841111111111,21.159433333333336,24.63466666666666,101.68966666666667,92.58500000000001,45.50300000000001,156.13400000000004,70.49728888888889,17.404744444444443,1.6666666666666667,19.4
10,16.51915053763441,23.47458064516129,10.63656989247312,15.092967741935484,18.05193548387097,89.65233333333335,84.355,27.450000000000003,151.79400000000007,72.45136559139785,14.262236559139785,0.13333333333333333,23.366666666666667
11,10.262677777777778,16.970533333333332,4.731644444444444,7.693233333333334,12.782700000000002,101.50066666666666,97.73500000000001,42.405,145.22000000000006,75.34462222222221,10.7029,0.0,20.366666666666667
12,6.162451612903226,11.95109677419355,1.3733655913978495,3.6724516129032256,8.469741935483873,118.68666666666667,100.07499999999999,61.308,215.03400000000002,81.48378494623655,8.552591397849461,0.0,20.4
