year,month,expected_days,valid_days,completeness_pct,is_complete_period,mean_temperature_C,mean_max_temperature_C,mean_min_temperature_C,mean_diurnal_range_C,precipitation_mm,mean_relative_humidity_pct,mean_solar_radiation_kWh_m2_day,hot_day_count,frost_day_count,dry_day_count,heavy_rain_day_count,longest_dry_spell_days
1991,1,31,31,100.0,True,4.794838709677419,9.827419354838709,0.48419354838709666,9.343225806451615,149.36,87.72548387096772,7.76709677419355,0,14,16,1,4
1991,2,28,28,100.0,True,7.201785714285714,13.080357142857142,1.9432142857142858,11.137142857142857,79.84000000000002,80.2317857142857,12.076428571428568,0,10,17,0,5
1991,3,31,31,100.0,True,11.08548387096774,16.95483870967742,5.388709677419355,11.566129032258063,181.73,82.74,15.065483870967741,0,4,18,2,8
1991,4,30,30,100.0,True,16.685999999999996,22.444000000000003,11.558666666666664,10.885333333333332,145.52,83.19566666666667,17.340333333333334,0,0,13,0,5
1991,5,31,31,100.0,True,21.876129032258063,26.904838709677417,17.044193548387096,9.860645161290325,152.35,83.15709677419356,18.18935483870968,0,0,9,0,4
1991,6,30,30,100.0,True,23.662333333333333,28.753666666666675,18.978666666666662,9.775000000000004,130.09,79.23066666666664,20.92,0,0,10,0,7
1991,7,31,31,100.0,True,25.96548387096774,30.80483870967742,21.533548387096776,9.271290322580644,154.06,80.45387096774193,21.16258064516129,0,0,10,1,4
1991,8,31,31,100.0,True,24.111612903225804,29.05677419354839,19.773225806451617,9.283548387096777,182.09999999999997,82.36258064516132,18.074838709677415,0,0,8,2,4
1991,9,30,30,100.0,True,21.804666666666666,27.693666666666665,16.404999999999998,11.288666666666664,49.83,74.29833333333333,18.547666666666668,0,0,19,0,7
1991,10,31,31,100.0,True,16.07903225806452,23.431935483870962,9.864516129032259,13.56741935483871,8.02,69.62612903225806,15.035806451612903,0,0,29,0,16
1991,11,30,30,100.0,True,8.483333333333333,14.955333333333332,3.278666666666666,11.676666666666668,65.83,72.16666666666667,10.486,0,11,20,0,7
1991,12,31,31,100.0,True,6.638709677419353,12.722903225806451,1.4448387096774191,11.27806451612903,98.43999999999998,78.40225806451612,8.872580645161293,0,15,22,1,8
1992,1,31,31,100.0,True,4.903548387096775,10.840322580645163,-0.07516129032258055,10.915483870967742,141.2,82.85193548387095,9.71225806451613,0,16,16,0,4
1992,2,29,29,100.0,True,7.397241379310345,13.22068965517241,2.377931034482758,10.842758620689652,132.13,81.2151724137931,12.198620689655172,0,5,21,3,12
1992,3,31,31,100.0,True,9.815806451612902,16.19677419354839,3.542258064516129,12.654516129032254,139.22,78.46483870967744,16.065806451612904,0,11,20,1,7
1992,4,30,30,100.0,True,14.591333333333335,20.918333333333333,8.210333333333333,12.707999999999998,71.05000000000001,77.60333333333332,19.304333333333332,0,2,21,1,6
1992,5,31,31,100.0,True,18.15064516129032,23.710645161290326,12.583225806451614,11.127419354838713,90.71000000000002,77.87419354838708,21.020322580645164,0,0,19,0,5
1992,6,30,30,100.0,True,22.557666666666666,27.792666666666666,17.359666666666666,10.433,148.08999999999997,78.73433333333332,19.229333333333336,0,0,11,1,6
1992,7,31,31,100.0,True,26.955161290322582,32.98935483870967,21.55806451612903,11.431290322580647,71.68,71.45064516129031,21.66709677419355,6,0,15,0,8
1992,8,31,31,100.0,True,24.137419354838713,29.81870967741936,18.986129032258063,10.83258064516129,192.40999999999997,75.04935483870968,17.046129032258065,3,0,11,1,5
1992,9,30,30,100.0,True,21.750000000000004,27.25166666666666,17.043,10.208666666666664,131.46,79.93733333333334,15.129999999999999,0,0,11,0,7
1992,10,31,31,100.0,True,13.939354838709678,20.282258064516125,8.198064516129033,12.084193548387098,127.11,80.67225806451611,13.854193548387098,0,0,22,2,15
1992,11,30,30,100.0,True,10.059333333333333,15.476666666666667,5.185333333333333,10.291333333333334,227.22,85.05333333333333,8.584,0,8,18,5,7
1992,12,31,31,100.0,True,4.340967741935484,8.956774193548387,0.38451612903225807,8.57225806451613,150.08,88.38419354838709,7.081290322580646,0,17,16,3,4
1993,1,31,31,100.0,True,5.317096774193548,10.048709677419355,1.4832258064516133,8.565483870967741,176.67999999999998,88.82677419354837,7.883870967741936,0,9,17,2,7
1993,2,28,28,100.0,True,4.231428571428571,9.977499999999997,-0.6396428571428572,10.617142857142854,112.29,82.0439285714286,11.450000000000001,0,16,15,0,5
1993,3,31,31,100.0,True,7.824193548387097,13.294516129032258,2.5464516129032257,10.748064516129029,203.13,83.57677419354836,13.681290322580645,0,10,17,3,7
1993,4,30,30,100.0,True,12.832999999999998,19.125,6.3966666666666665,12.72833333333333,74.33,78.10866666666668,20.956333333333337,0,1,24,2,9
1993,5,31,31,100.0,True,19.698709677419355,25.204193548387106,14.273548387096772,10.930645161290323,102.80999999999999,80.27580645161291,20.247096774193547,0,0,19,1,8
1993,6,30,30,100.0,True,24.926666666666662,31.246666666666666,18.80066666666666,12.445999999999998,37.54,71.53699999999999,23.439333333333334,1,0,22,0,11
1993,7,31,31,100.0,True,30.068064516129034,37.429032258064524,23.02870967741935,14.40032258064516,56.01,57.93935483870968,24.674516129032256,29,0,16,0,5
1993,8,31,31,100.0,True,27.16419354838709,33.972258064516126,21.107741935483865,12.864516129032257,58.10999999999999,64.84161290322581,19.01096774193548,13,0,14,0,4
1993,9,30,30,100.0,True,23.487000000000002,30.96733333333333,17.177666666666667,13.789666666666665,80.88,65.25833333333334,17.126,1,0,14,0,7
1993,10,31,31,100.0,True,16.02935483870968,23.647741935483868,10.214193548387096,13.433548387096776,82.14999999999999,64.93548387096774,12.785806451612906,0,0,25,1,15
1993,11,30,30,100.0,True,9.631000000000002,15.803333333333331,4.323666666666667,11.479666666666667,100.21000000000001,76.97566666666665,10.814666666666666,0,5,20,1,8
1993,12,31,31,100.0,True,3.944193548387097,9.554193548387099,-0.5516129032258065,10.105806451612906,97.40999999999998,83.4841935483871,8.798709677419353,0,17,21,1,4
1994,1,31,31,100.0,True,1.7625806451612902,7.166774193548386,-2.8645161290322587,10.031290322580649,120.81,82.71225806451613,8.83806451612903,0,20,17,0,7
1994,2,28,28,100.0,True,6.531071428571428,12.452499999999999,1.2289285714285714,11.223571428571429,105.88,83.42285714285715,11.677857142857146,0,14,19,0,9
1994,3,31,31,100.0,True,10.978709677419355,17.494516129032256,4.423870967741936,13.070645161290324,163.99999999999997,79.84677419354838,16.644193548387097,0,3,20,2,10
1994,4,30,30,100.0,True,16.67966666666667,23.34566666666667,10.038,13.307666666666668,72.10999999999999,78.21033333333335,21.17033333333334,0,0,22,1,10
1994,5,31,31,100.0,True,18.769032258064513,25.149999999999995,12.44774193548387,12.702258064516128,53.279999999999994,72.7674193548387,23.418709677419354,0,0,23,0,5
1994,6,30,30,100.0,True,25.425666666666665,30.918,20.25866666666667,10.659333333333333,236.7,75.15633333333334,22.44966666666666,3,0,6,2,3
1994,7,31,31,100.0,True,25.17612903225806,29.97612903225807,20.937419354838713,9.038709677419355,157.16,80.65290322580644,19.808709677419355,0,0,6,0,2
1994,8,31,31,100.0,True,24.232903225806453,29.405806451612907,19.46741935483871,9.938387096774195,209.88000000000002,79.05806451612902,18.871290322580645,0,0,13,2,6
1994,9,30,30,100.0,True,20.31833333333333,26.236333333333334,15.138333333333332,11.098,86.37,77.80300000000001,17.117666666666665,0,0,19,0,5
1994,10,31,31,100.0,True,14.728709677419356,20.464516129032255,9.845806451612903,10.618709677419357,148.55,81.20741935483869,11.706451612903221,0,0,17,1,6
1994,11,30,30,100.0,True,11.001666666666667,17.47933333333333,5.901666666666667,11.577666666666667,79.43999999999998,79.24633333333334,10.678666666666667,0,3,17,0,8
1994,12,31,31,100.0,True,6.849032258064517,12.084193548387097,2.5467741935483867,9.53741935483871,96.30999999999999,82.64064516129031,7.5845161290322585,0,9,22,1,9
1995,1,31,31,100.0,True,4.8590322580645156,10.964193548387097,-0.21161290322580648,11.175806451612905,153.25,82.92709677419356,9.293870967741936,0,19,19,2,5
1995,2,28,28,100.0,True,4.7371428571428575,10.406785714285714,-0.15642857142857144,10.563214285714286,164.99999999999997,81.76642857142856,11.951071428571428,0,15,18,1,8
1995,3,31,31,100.0,True,11.610645161290321,17.894193548387097,5.654838709677421,12.239354838709678,63.26,80.29451612903225,16.147741935483875,0,3,21,0,11
1995,4,30,30,100.0,True,15.782999999999998,22.462,9.378666666666668,13.083333333333332,41.99,77.978,19.872666666666664,0,0,22,0,10
1995,5,31,31,100.0,True,20.917419354838703,27.090000000000003,14.90935483870968,12.180645161290323,83.08999999999999,74.21548387096772,21.15322580645161,0,0,17,0,6
1995,6,30,30,100.0,True,23.527666666666665,29.02833333333334,18.094333333333335,10.934000000000001,161.32000000000002,75.29066666666667,21.295,0,0,4,1,2
1995,7,31,31,100.0,True,27.930967741935486,34.5658064516129,21.73967741935484,12.826129032258065,64.88,66.05935483870968,22.668709677419354,15,0,13,0,9
