field_id,mukey,musym,aws025wta,intersection_area_m2,intersection_area_acres,field_area_m2,percent_of_field
451623001001160,1154999,DuB,2.0,16616.485151310775,4.106022894195492,17125.696622516185,97.0266233109845
451623001001160,1154986,ApC,3.47,509.2114712057527,0.12582889460186805,17125.696622516185,2.9733766890174946
451623001001187,1154985,ApB,3.5,11898.376323819059,2.940152814778688,11898.376323819059,100.0
451623001001196,1154986,ApC,3.47,3139.9662045966897,0.775902545313989,70855.94859810546,4.431478607966369
451623001001196,1154985,ApB,3.5,62506.05540709294,15.445582636176812,70855.94859810546,88.21567792653082
451623001001196,1154986,ApC,3.47,5209.926986415076,1.2874009929602792,70855.94859810546,7.352843465501749
451623001001204,1154986,ApC,3.47,916.7048143721324,0.22652269241996006,13380.970179311144,6.850809784999645
451623001001204,1154985,ApB,3.5,12464.265364940326,3.079987041888683,13380.970179311144,93.14919021501018
451623001001218,1154991,CcB,2.95,25033.5277098957,6.185919402527835,25033.5277098957,100.0
451623001001219,1154991,CcB,2.95,18278.97774423791,4.516833759780429,18390.54168646146,99.39336239179033
451623001001219,1154986,ApC,3.47,76.10357172559335,0.018805602086713575,18390.54168646146,0.4138190871322644
451623001001219,1154985,ApB,3.5,35.46037049687512,0.008762448362031487,18390.54168646146,0.19281852107151326
451623001001224,1154991,CcB,2.95,17992.908887819052,4.446144606022814,17992.908887819056,99.99999999999997
451623001001231,1154991,CcB,2.95,2224.848564737814,0.5497720522568407,16194.721897910846,13.73810911211031
451623001001231,1154992,CcC,2.99,13969.87333317103,3.4520308725149675,16194.721897910846,86.26189088787733
451623001001238,1154991,CcB,2.95,4479.154953088133,1.1068232912408802,10664.248092584985,42.00160118370238
451623001001238,1155004,HeB,3.05,6185.0931394948475,1.5283697967553604,10664.248092584985,57.99839881627883
451623001001243,1154991,CcB,2.95,1093.071019570038,0.2701037307509127,23181.746216805026,4.7152229575252775
451623001001243,1154992,CcC,2.99,1528.4367481492754,0.3776849449858278,23181.746216805026,6.593277028635891
451623001001243,1154985,ApB,3.5,16389.26902841767,4.049876567578648,23181.746216805026,70.69902704972536
451623001001243,1154993,CcD,3.35,4170.969420672316,1.030668987834582,23181.746216805026,17.99247296413191
451623001001248,1154991,CcB,2.95,15598.663803926254,3.8545137623601065,15976.271924619761,97.63644408110252
451623001001248,1154993,CcD,3.35,377.608120692032,0.09330899853229856,15976.271924619761,2.3635559188882493
451623001001250,1154991,CcB,2.95,45674.10892812773,11.286318088520504,51140.49001800128,89.31105062163189
451623001001250,1155019,PaF,2.99,2707.074834535687,0.6689327583834529,51140.49001800128,5.293408087374224
451623001001250,1154992,CcC,2.99,2759.3062553192976,0.6818394235163583,51140.49001800128,5.395541290957579
451623001001251,1154991,CcB,2.95,1238.1676311755725,0.30595788424350734,17952.831332152906,6.896781951925637
451623001001251,1154992,CcC,2.99,14006.646433922217,3.4611177035866407,17952.831332152906,78.01915015397485
451623001001251,1154985,ApB,3.5,2708.01726705696,0.6691656385306889,17952.831332152906,15.084067894109795
451623001001257,1154991,CcB,2.95,50245.84674905934,12.41601910459392,77438.56208461103,64.88478788405143
451623001001257,1155019,PaF,2.99,3904.3049136570253,0.9647747532293913,77438.56208461103,5.041809672797254
451623001001257,1154992,CcC,2.99,23288.410421894197,5.754691530186537,77438.56208461103,30.07340244315072
451623001001258,1154985,ApB,3.5,8020.5012667264355,1.9819090213254185,35947.29729539933,22.31183390733781
451623001001258,1154991,CcB,2.95,3301.448580268455,0.8158057092791456,35947.29729539933,9.184135745000741
451623001001258,1154991,CcB,2.95,7352.097166531577,1.816742771484806,35947.29729539933,20.452433756327284
451623001001258,1154992,CcC,2.99,17273.250281874873,4.268313092011048,35947.29729539933,48.05159659133975
451623001001259,1154991,CcB,2.95,1595.7712343002436,0.394323658840602,14906.000763411212,10.705562542417677
451623001001259,1154985,ApB,3.5,13310.2295291152,3.2890293389894625,14906.000763411212,89.29443745761073
451623001001261,1154991,CcB,2.95,14130.048518614607,3.491611022740748,17706.08829187022,79.80333253563659
451623001001261,1154992,CcC,2.99,3576.039773254297,0.8836586706411567,17706.08829187022,20.196667464355983
451623001001262,1154985,ApB,3.5,21638.78926820792,5.347061266499229,63535.71061062481,34.05768041349231
451623001001262,1154991,CcB,2.95,20063.62381258945,4.957829406450588,63535.71061062481,31.578499114534644
451623001001262,1154991,CcB,2.95,19512.69299068846,4.821691435800102,63535.71061062481,30.711379164814815
451623001001262,1154992,CcC,2.99,2320.604539151409,0.5734338687973384,63535.71061062481,3.6524413071777997
451623001001264,1154991,CcB,2.95,23703.744015152697,5.857322695990777,23965.39221440094,98.90822483977117
451623001001264,1154992,CcC,2.99,261.6481992485855,0.06465467796328564,23965.39221440094,1.0917751602302574
451623001001266,1154986,ApC,3.47,13808.224994621418,3.4120866982296487,57222.736150476856,24.130661907376044
451623001001266,1154985,ApB,3.5,22950.060326076284,5.671083400848064,57222.736150476856,40.10654133302054
451623001001266,1154991,CcB,2.95,20464.45082977565,5.056875919247479,57222.736150476856,35.7627967595973
451623001001267,1154985,ApB,3.5,19230.025107075748,4.751842680723518,19230.025107075744,100.00000000000001
451623001001281,1154986,ApC,3.47,3388.8047688608826,0.8373918935439854,16719.394419509877,20.2687052164191
