field_id,field_area_m2,covered_area_m2,coverage_percent,uncovered_percent,valued_coverage_percent,map_unit_count,area_weighted_aws025wta
451623001001160,17125.696622516185,17125.696622516527,100.00000000000199,0.0,100.00000000000199,2.0,2.0437086373285567
451623001001187,11898.376323819059,11898.376323819059,100.0,0.0,100.0,1.0,3.5
451623001001196,70855.94859810546,70855.9485981047,99.99999999999893,1.0679408106820673e-12,99.99999999999893,2.0,3.4964647033779594
451623001001204,13380.970179311144,13380.970179312459,100.00000000000983,0.0,100.00000000000983,2.0,3.4979447570645004
451623001001218,25033.5277098957,25033.5277098957,100.0,0.0,100.0,1.0,2.95
451623001001219,18390.54168646146,18390.54168646038,99.99999999999413,5.8751923903451635e-12,99.99999999999413,3.0,2.9532123611189816
451623001001224,17992.908887819056,17992.908887819052,99.99999999999997,2.021895864517256e-14,99.99999999999997,1.0,2.95
451623001001231,16194.721897910846,16194.721897908843,99.99999999998764,1.2366420034433204e-11,99.99999999998764,2.0,2.9845047563551557
451623001001238,10664.248092584985,10664.24809258298,99.9999999999812,1.8796696263108428e-11,99.9999999999812,2.0,3.0079983988162895
451623001001243,23181.746216805026,23181.746216809304,100.00000000001845,0.0,100.00000000001845,4.0,3.413451851441385
451623001001248,15976.271924619761,15976.271924618286,99.99999999999078,9.233696154122012e-12,99.99999999999078,2.0,2.959454223675554
451623001001250,51140.49001800128,51140.49001798271,99.99999999996369,3.630830253065652e-11,99.99999999996369,3.0,2.9542755797513345
451623001001251,17952.831332152906,17952.83133215475,100.00000000001027,0.0,100.00000000001027,3.0,3.064170033479182
451623001001257,77438.56208461103,77438.56208461056,99.99999999999939,6.013299766580736e-13,99.99999999999939,3.0,2.9640460848463794
451623001001258,35947.29729539933,35947.29729540134,100.00000000000558,0.0,100.00000000000558,3.0,3.091935725126886
451623001001259,14906.000763411212,14906.000763415444,100.00000000002841,0.0,100.00000000002841,2.0,3.4411194060167194
451623001001261,17706.08829187022,17706.088291868902,99.99999999999257,7.437827635660663e-12,99.99999999999257,2.0,2.9580786669857435
451623001001262,63535.71061062481,63535.71061063724,100.00000000001955,0.0,100.00000000001955,3.0,3.138778218797042
451623001001264,23965.39221440094,23965.392214401283,100.00000000000144,0.0,100.00000000000144,2.0,2.9504367100640922
451623001001266,57222.736150476856,57222.736150473356,99.99999999999389,6.115987888483839e-12,99.99999999999389,3.0,3.2960654192499894
451623001001267,19230.025107075744,19230.025107075748,100.00000000000001,0.0,100.00000000000001,1.0,3.5
451623001001281,16719.394419509877,16719.394419513537,100.0000000000219,0.0,100.0000000000219,2.0,3.055397267125356
451623001001285,18778.491903040795,18778.49190303982,99.99999999999481,5.19199478496301e-12,99.99999999999481,2.0,2.9537392338279647
451623001001295,13384.081312449362,13384.081312454013,100.00000000003475,0.0,100.00000000003475,3.0,3.2320599653720214
451623001001299,20426.36895500999,20426.36895501373,100.0000000000183,0.0,100.0000000000183,2.0,3.4966762261318145
